Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
2.262885911464691162e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.445000000000000284e+01,3.123999999999999844e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.273048515319824219e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.438000000000000256e+01,3.144000000000000128e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.283061337471008301e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.425000000000000000e+01,3.139999999999999858e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.293067505359649658e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.409000000000000341e+01,3.153000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.303074471950531006e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.403000000000000114e+01,3.166000000000000014e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.313048295974731445e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.392999999999999972e+01,3.182000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.323054797649383545e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.364000000000000057e+01,3.185999999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.333060913085937500e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.357999999999999829e+01,3.173000000000000043e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.343067128658294678e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.332000000000000028e+01,3.194999999999999929e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.353067066669464111e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.335000000000000142e+01,3.207999999999999829e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.363073363304138184e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.318999999999999773e+01,3.210999999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.373079655170440674e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.309000000000000341e+01,3.217999999999999972e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.383089561462402344e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.289999999999999858e+01,3.221000000000000085e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.393092720508575439e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.277000000000000313e+01,3.239999999999999858e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.403023312091827393e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.271000000000000085e+01,3.243999999999999773e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.412953543663024902e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.247999999999999687e+01,3.239999999999999858e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.422997763156890869e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.242000000000000171e+01,3.265999999999999659e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.433004245758056641e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.221999999999999886e+01,3.268999999999999773e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.443010365962982178e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.209000000000000341e+01,3.263000000000000256e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.453016660213470459e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.196000000000000085e+01,3.268999999999999773e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.462944793701171875e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.196000000000000085e+01,3.282000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.472990036010742188e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.179999999999999716e+01,3.297999999999999687e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.482992515563964844e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.171000000000000085e+01,3.302000000000000313e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.492998974323272705e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.150999999999999801e+01,3.327000000000000313e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.502987890243530273e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.128999999999999915e+01,3.302000000000000313e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.513033063411712646e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.118999999999999773e+01,3.334000000000000341e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.523033530712127686e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.113000000000000256e+01,3.317999999999999972e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.533049211502075195e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.086999999999999744e+01,3.339999999999999858e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.543058297634124756e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.071000000000000085e+01,3.321000000000000085e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.553058025836944580e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.064000000000000057e+01,3.356000000000000227e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.563031859397888184e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.045000000000000284e+01,3.334000000000000341e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.573194477558135986e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.047999999999999687e+01,3.395000000000000284e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.583135673999786377e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.018999999999999773e+01,3.350000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.593070583343505859e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.010000000000000142e+01,3.389000000000000057e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.603076851367950439e+02,5.000000000000000000e+00,5.000000000000000000e+01,4.989999999999999858e+01,3.395000000000000284e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.613047115802764893e+02,5.000000000000000000e+00,5.000000000000000000e+01,4.974000000000000199e+01,3.404999999999999716e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.623053212165832520e+02,5.000000000000000000e+00,5.000000000000000000e+01,4.971000000000000085e+01,3.392000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
